0,1,2,3,4
"API  Starting 
Material",원료의약품    출발물질,"API    제조에  사용되며  API  구성에  중요한  구조의  일부분으로  통
합되는  원료약품,  중간체  또는  API.  API  출발물질은  시중에서  구
매할  수도    있고,  하나  또는  그  이상의  공급자로부터  계약에  따라 
구매할  수도  있으며,  자체  제조할  수도  있다.  API  출발물질은  일
반적으로  화학적    특징과  구조가  규명되어  있다.","A    raw  material,  intermediate,  or  an  API  that  is  used  in  the  production  of  an   
API  and 
that 
is 
incorporated  as  a  significant  structural 
fragment 
into 
the   
structure  of  the  API.  An  API  Starting  Material  can  be  an  article  of  commerce,   
a  material 
purchased 
from 
one 
or  more 
suppliers 
under 
contract 
or 
commercial 
  agreement,  or  produced 
in-house.  API  Starting  Materials  are 
normally  of    defined  chemical  properties  and  structure.",Ref    2
Application,어플리케이션,"특정    기능을  실행하기  위해서  미리  정의된  플랫폼/하드웨어에 
설치되어  운영되는  소프트웨어",Softwareinstalledonadefinedplatform/hardwareprovidingspecificfunctionality,Ref    20
"Application-S
pecific 
Software","어플리케이션-특정   
용도의  소프트웨어",특정요구사항에따라개발되거나적용된소프트웨어프로그램,"A    software  program  developed  or  adapted  to  the  specific  requirements  of 
the    application.",Ref    1
"Aseptic 
filling",무균  충전,"개별적으로    멸균된  제품이  멸균된  마개와  용기를  사용하여  중요 
공정  구역에서  충전되고  포장되는  공정","Operation 
  whereby 
the  product 
is 
sterilised 
separately, 
then 
filled  and 
packaged  using    sterilised  containers  and  closures  in  critical  processing  zones.",Ref    11
"Aseptic 
techniques 
and 
manipulation
s",무균  기술    및  조작법,"환경으로    인한  미생물  오염  위험을  최소화하는  방법으로  무균 
물질을  조작하는  기법.  표면  사이의  접촉(무균  표면  사이는  제외)
을  배제하여  노출  지역과    노출  시간을  최소화한다.","Themanipulationofsterilematerialsinsuchawayastominimizetheriskof
microbiologicalcontaminationfromtheenvironment.Thesetechniquesusuallyinvolvee
liminatingsurfacetosurfacecontacts(exceptbetweensterilesurfaces)minimizingtheare
aexposedandthedurationofexposure.",Ref    12
Assay  :,함량  또는    역가시험,검체    중에  존재하는  분석대상물질의  함량  또는  역가를  정확하게,N/A,Ref    17
"Content  or 
Potency",,측정하는  시험을  말한다.,,
"Authorized 
person",출하  승인    책임자,"각국    규제  당국이  인정한  자로서  최종  제품  배치가  각국의  법률
과  규정에  따라  제조  및  시험되고  출하  승인되도록  하는  책임을 
맡은  자","Thepersonrecognizedbythenationalregulatoryauthorityashavingthe
responsibilityforensuringthateachbatchoffinishedproducthasbeenmanufactured,tes
tedandapprovedforreleaseincompliancewiththelawsandregulationsinforceinthatcou
ntry.",Ref    5
"Automated 
System",자동화    시스템,"시스템의    넓은  범위를  포함하는  용어이다.  이것은  자동화된  생산 
설비,  제어  시스템,  자동화된  시험실  시스템,  생산  실행  시스템,  컴
퓨터가  수행하는    시험실  또는  생산  데이터베이스  시스템을  포함
한다.  자동화  시스템은  하드웨어,  소프트웨어,  네트워크  구성요소, 
그와  관련된  제어  기능  및    문서들도  포함된다.  자동화  시스템은 
때로  컴퓨터화  시스템으로  언급되어지기도  한다.","Term 
  used 
to 
cover 
a  broad 
range  of 
systems, 
including 
automated 
manufacturing 
  equipment,  control 
systems,  automated 
laboratory 
systems 
manufacturing 
 
execution 
systems 
and 
computers 
running 
laboratory  or 
manufacturing  database 
 
systems.  The  automated 
system  consists  of 
the 
hardware,  software  and  network    components,  together  with  the  controlled 
functions  and  associated    documentation.  Automated  systems  are  sometimes 
referred  to  as  computerised    systems.",Ref    1
Barrier,"배리어,    장벽","주위공간으로부터    무균  작업  공간(ISO  5)을  부분적으로  분리함으
로써      무균  작업  공간을  보호  할  수  있도록  하는  물리적인  장벽","Aphysicalpartitionthataffordsasepticprocessingarea(ISO5)protectionbypartiallysepa
ratingitfromthesurroundingarea.",Ref    10
"Batch,(or","제조단위,  배치,  로트",동일한    사이클을  갖는  제조공정으로  단일  제조지시에  의해서  제,Batch    means  a  specific  quantity  of  a  drug  or  other  material  that  is  intended,Ref    3
Lot),,"조된,  규정된  기준  내에서  일정한  균질성  및  품질을  갖도록  의도
된  약물  또는  다른    물질의  일정한  분량을  의미한다.","to 
  have  uniform 
character 
and  quality,  within 
specified 
limits, 
and 
is 
produced    according  to  a  single  manufacturing  order  during  the  same  cycle 
of    manufacture.",
,,"규정  범위  이내의  균질할  것으로  예상되는,  특정  공정  또는  일련
의  공정을  통해  생산된    특정  양의  물품.  연속  생산인  경우에  배
치는  일정  부분의  생산물에  해당된다.  배치  단위는  일정한  양  또
는  일정  시간  동안  생산된  양으로    규정된다.","A    specific  quantity  of  material  produced  in  a  process  or  series  of  processes 
so    that  it  is  expected  to  be  homogeneous  within  specified  limits.  In  the 
case  of 
 
continuous  production,  a  batch  may 
correspond 
to  a  defined 
fraction  of  the    production.  The  batch  size  can  be  defined  either  by  a  fixed 
quantity  or  by    the  amount  produced  in  a  fixed  time  interval.",Ref    2
,,"단일공정이거나,균질성을기대할수있는연속된공정내에서처리되는출
발물질,포장자재또는제품/의정의된양
  참고 
:  제조의  특정  단계를  완료하기  위해서,  1  개의  배치를     
여러  서브  배치로  분할  할  필요가  있을  수  있다.  이  서브  배치들
은  최종적으로  균질한  1개의  균질한  배치를  만들기  위해서  함께   
  합쳐진다.
  연속  제조의  경우,  배치는  의도된  균질성을  갖도록  규정된  생산   
  단위와  일치해야  한다.
  완제의약품의  관리를  위해  Annex  1의  Directive      2001/83/EC 
as  amended  by  Directive  2003/63/EC  의  규정은  아래와  같다.
완제품을관리하기위하여등록된의약품한제조단위는동일한최초물질
로만들고일련의제조작업을거치거나단일멸균작업을거친제품일체또
는연속생산공정인경우에는일정시간동안제조된물량을포괄한다.","Adefinedquantityofstartingmaterial,packagingmaterialorproductprocessedinonepr
ocessorseriesofprocessessothatitcouldbeexpectedtobehomogeneous.
NoteTocompletecertainstagesofmanufacture,itmaybenecessarytodivideabatchintoa
numberofsubbatches,whicharelaterbroughttogethertoformafinal
homogeneousbatch.Inthecaseofcontinuousmanufacture,thebatchmust
correspondtoadefinedfractionoftheproduction,characterisedbyitsintended
homogeneity.
Forcontrolofthefinishedproduct,thefollowingdefinitionhasbeengiveninAnnex1ofDir
ective2001/83/ECasamendedbyDirective2003/63/EC:‘Forthecontrolofthefinishedpro
duct,abatchofaproprietarymedicinalproductcomprisesalltheunitsofapharmaceutical
formwhicharemadefromthesameinitialmassofmaterialandhaveundergoneasingleser
iesofmanufacturingoperationsorasinglesterilisationoperationor,inthecaseofacontin
uousproductionprocess,alltheunitsmanufacturedinagivenperiodoftime’.",Ref    4
"Batch  (or 
Lot)","제조단위,  배치,  로트","하나의    공정  또는  일련의  공정으로  처리하여  균질한  것으로  간
주되는  일정량의  출발물질,  포장자재  또는  제품.  한  배치를  여러 
개의  서브배치로  나누고    나중에  다시  하나로  합쳐  최종적으로 
균질한  하나의  배치를  만들  필요가  있을  수  있다.  사후  멸균의  경
우에  멸균기의  용량에  따라  배치  단위가    결정된다.  연속  제조의 
경우  제조단위는  의도된  균질성에  의해  결정되는  일정  생산  부분
과  일치하여야  한다.  제조  단위는  일정  시간  동안    생산된  양  또
는  일정량으로  규정할  수  있다.","A 
  defi  ned  quantity  of  starting  material,  packaging  material,  or  product   
processed  in  a  single  process  or  series  of  processes  so  that  it  is  expected   
to  be  homogeneous.  It  may  sometimes  be  necessary  to  divide  a  batch  into  a   
number  of  sub-batches,  which  are 
later  brought 
together 
to 
form  a 
final   
homogeneous  batch.  In  the  case  of  terminal  sterilization,  the  batch  size  is   
determined  by  the  capacity  of  the  autoclave.  In  continuous  manufacture,  the   
batch  must  correspond  to  a  defi  ned  fraction  of  the  production,  characterized   
by  its  intended  homogeneity.  The  batch  size  can  be  defi  ned  either  as  a",Ref    5
,,,fixed    quantity  or  as  the  amount  produced  in  a  fi  xed  time  interval.,
,,"동일한  제조공정으로  제조되어  균질성을  가지는  의약품의  일정한 
분량을  말한다.",N/A,Ref    15
"Batch 
Number  (or 
Lot  Number)","제조번호,  배치  번호,   
로트  번호","특정    배치(또는  로트)를  표현하는  숫자,  문자  및/또는  상징의  고
유한  조합.  이로부터  생산  및  유통  내역을  확인할  수  있다.","A    unique  combination  of  numbers,  letters,  and/or  symbols  that  identifies  a   
batch  (or  lot)  and  from  which  the  production  and  distribution  history  can  be   
determined.",Ref    2
,,배치를  명확하게  규정하는  숫자  및/또는  문자의    독특한  조합,"A 
  distinctive 
combination  of  numbers 
and/or 
letters  which 
specifically   
identifies  a  batch.",Ref    4
,,"한  배치를  특이적으로  구분하는  숫자  및/또는  문자의  독특한  조
합으로  라벨,  제조    기록서,  성적서  등에  표기한다.","Adistinctivecombinationofnumbersand/orletterswhichuniquelyidentifies
abatchonthelabels,itsbatchrecordsandcorrespondingcertificatesofanalysis,etc.",Ref    5
,,"일정한  제조단위분에  대하여  제조관리  및  출하에  관한  모든  사항
을  확인할  수  있도록    표시된  번호로서  숫자ㆍ문자  또는  이들을 
조합한  것을  말한다.",N/A,Ref    15
"Batch 
records","제조기록서,    제조단위 
기록(서)","반제품    또는  완제품의  특정  제조단위  제조와  관련된  모든  문서. 
제조기록서는  제품  각  제조단위와  최종제품의  품질에  관련된  모
든  상황에  대한  내역을    제공한다.","Alldocumentsassociatedwiththemanufactureofabatchofbulkproductorfinishedprod
uct.Theyprovideahistoryofeachbatchofproductandofallcircumstancespertinenttothe
qualityofthefinalproduct.",Ref    5
Bespoke,맞춤형,"고객    요구사항을  만족  시키기  위해  특정  주문에  의해  생산된  시
스템이다.","A    system  produced  for  a  customer,  specifically  to  order,  to  meet  a  defined 
set    of  user  requirements.",Ref    1
"Bespoke/Cus
tomized 
computerise
d  system","맞춤형/자체개발    컴
퓨터  시스템",특정    업무  프로세스에  맞게  자체적으로  설계한  컴퓨터  시스템,Acomputerisedsystemindividuallydesignedtosuitaspecificbusinessprocess,Ref    20
Bioburden,미생물  부하,"원료약품,API출발물질,중간체또는API에존재할가능성이있는미생물
의기준및종류(특정미생물존재여부등).바이오버든은그기준을초과하
지않았거나특정미생물이검출되지않는한,오염으로간주하지않아야한
다.","The    level  and  type  (e.g.  objectionable  or  not)  of  micro-organisms  that  can 
be    present  in  raw  materials,  API  starting  materials,  intermediates  or  APIs.   
Bioburden  should  not  be  considered  contamination  unless 
the 
levels  have 
been    exceeded  or  defined  objectionable  organisms  have  been  detected.",Ref    2
,,멸균  공정  전  의약품에  있는  총  생균수,"Total 
  number  of  viable  microorganisms  on  or 
in  pharmaceutical  product 
prior  to    sterilisation.",Ref    11
Biocide,살생(물)제,미생물을    사멸하는  물질을  지칭하는  일반용어,A    general  term  for  any  agent  that  kills  organisms.,Ref    13
Biogenerator,생물제너레이터,"발효기와    같이  생물학적  인자를  기타  물질과  함께  투입하여  생
물학적  인자가  증식하거나  기타  물질과의  반응으로  생물학적  인
자가  다른  성분을  생산하게    만드는  봉쇄  시스템.  바이오  제너레
이터에는  일반적으로  조절,  관리,  연결,  물품  투입,  물품  배출을  위
한  장치가  부착되어  있다.","A    contained  system,  such  as  a  fermenter,  into  which  biological  agents  are   
introduced  along  with  other  materials  so  as  to  effect  their  multiplication  or   
their  production  of  other  substances  by 
reaction  with 
the  other  materials.   
Biogenerators 
are 
generally 
fitted  with 
devices 
for 
regulation, 
control,   
connection,  material  addition  and  material  withdrawal.",Ref    4
"Biological 
Agents",생물(학적)인자,"병원성    여부에  상관없이  유전공학적  미생물,  세포  배양액,  내부
기생충을  포함하는  미생물.","Micro-organisms, 
 
including 
genetically 
engineered  micro-organisms, 
cell 
cultures  and    endoparasites,  whether  pathogenic  or  not.",Ref    4
"BiologicalIndi
cator",생물(학적)    지표,"물리적    또는  화학적  공정의  멸균  사이클의  유효성을  확인하기 
위하여  적합한  배지에  접종하여  멸균기  내  적절한  적재  위치에 
두는  미생물  개체군.    챌린지  미생물은  해당  공정에  대한  저항력","Apopulationofmicroorganismsinoculatedontoasuitablemedium(e.g.,solution,contai
nerorclosure)andplacedwithinappropriatesterilizerloadlocationstodeterminethesteri
lizationcycleefficacyofaphysicalorchemicalprocess.Thechallengemicroorganismissel",Ref    10
,,"에  근거하여  선정한다.  입고되는  로트의  D값과  생균수가  생물학
적  지표(BI)의  품질을  규정한다.","ectedbaseduponitsresistancetothegivenprocess.IncominglotD-valueandmicrobiolo
gicalcountdefinethequalityoftheBI.",
Bug,버그,소프트웨어에서의    에러의  징후(결함),A    manifestation  of  an  error  in  software  (a  fault).,Ref    1
Bulk  Product,"반제품,  벌크  제품","최종    포장을  포함하지  않고,  모든  공정  단계가  완료된  제품","Any 
  product  which  has  completed  all  processing  stages  up 
to,  but  not 
including,    final  packaging.",Ref    4
,,최종  포장을  제외한  공정  단계를  거친  제품,"Any 
  product 
that  has  completed  all  processing 
stages  up 
to,  but  not 
including,    final  packaging.",Ref    5
Calibration,교정,"특정    계측장치  또는  장치의  측정  결과를  참조  또는  추적  가능한 
표준  물질에  의한  것과  비교하였을  때  적절한  측정  범위에서  규
정  기준  이내에    있음을  보여  주는  행위.","The    demonstration  that  a  particular  instrument  or  device  produces  results 
within    specified  limits  by  comparison  with  those  produced  by  a  reference  or   
traceable  standard  over  an  appropriate  range  of  measurements.",Ref    2
,,"특정조건하에서,계측기기또는계측계에의해서표시되는값또는물질계
측에의해서표시되는값과    표준기기에서  해당하는  알려진  값  사이
의  관계를      설립하는  행위들의  모음.","The 
 
set  of  operations  which 
establish,  under 
specified 
conditions, 
the   
relationship 
between 
values 
indicated 
by 
a  measuring 
instrument 
or 
measuring    system,  or  values  represented  by  a  material  measure,  and  the 
corresponding    known  values  of  a  reference  standard.",Ref    4
,,"특정조건하에서,계측기기또는계측계에의해서표시되는값또는물질계
측에의해서표시되는값과    표준기기에서  해당하는  알려진  값  사이
의  관계를      설립하는  행위들의  모음.  측정  결과의  허용  기준이 
설정되어  있어야  한다.","The 
 
set  of  operations 
that  establish,  under 
specifi  ed 
conditions, 
the   
relationship 
between 
values 
indicated 
by 
an 
instrument 
or 
system 
for   
measuring 
(especially  weighing), 
recording,  and 
controlling,  or 
the  values   
represented  by  a  material  measure,  and  the  corresponding  known  values  of  a",Ref    5
,,,"reference  standard.  Limits  for  acceptance  of  the  results  of  measuring  should   
be  established.",
,,"계측기,  시험기기  또는  기록계가  나타내는  값과  표준기기의  참값
을  비교하여  오차가    허용범위  내에  있음을  확인하고,  허용오차범
위를  벗어나는  경우  허용범위  내에  들도록  조정하는  것을  말한다.",N/A,Ref    15
"Capability  of 
a  Process","프로세스    능력,  공정
능력","제품의    요구  기준을  만족시키는  제품을  구현할  수  있는  프로세
스의  능력.  프로세스  능력  개념을  통계적  용어로도  정의할  수  있
다.  (ISO    9000:2005)","Ability    of  a  process  to  realise  a  product  that  will  fulfil  the  requirements  of 
that 
  product.  The  concept  of  process  capability  can  also  be  defined 
in 
statistical    terms.  (ISO  9000:2005)",Ref    19
"Change 
Control",변경관리,"밸리데이션된    시설,  시스템,  설비  또는  공정에  영향을  미칠  수 
있을  것으로  예상되거나  실제  발생한  변경을  검토할  수  있는  적
절한  원칙의  검증된  일반적    시스템.  변경  관리의  목적은  밸리데
이션된  상태로  시스템이  유지되는  것을  보장하도록  하는  활동에 
대한  필요성을  결정하는  것이다.","A    formal  system  by  which  qualified  representatives  of  appropriate  disciplines   
review  proposed  or  actual  changes  that  might  affect  a  validated  status  of   
facilities,  systems,  equipment  or  processes.  The 
intent 
is 
to  determine 
the   
need 
for  action 
that  would  ensure 
that 
the 
system 
is  maintained 
in  a   
validated  state.",Ref    1
,,"밸리데이션된  시설,  시스템,  설비  또는  공정에  영향을  미칠  수  있
을  것으로  예상되거나    실제  발생한  변경을  검토할  수  있는  적절
한  원칙의  검증된  일반적  시스템.  변경  관리의  목적은  밸리데이션
된  상태로  시스템이  유지되는  것을    보장(문서화)하도록  하는  활
동에  대한  필요성을  결정하는  것이다.","A    formal  system  by  which  qualified  representatives  of  appropriate  disciplines   
review  proposed  or  actual  changes  that  might  affect  the  validated  status  of   
facilities,  systems,  equipment  or  processes.  The 
intent 
is 
to  determine 
the   
need 
for 
action 
that  would 
ensure 
and  document 
that 
the 
system 
is 
maintained    in  a  validated  state.",Ref    6
"Change 
Management",변경    매니지먼트,"변경의    제안,  평가,  승인,  추진,  검토를  위한  체계적  접근  방식.","A 
  systematic  approach 
to  proposing,  evaluating,  approving, 
implementing 
and    reviewing  changes.",Ref    19
,,,,
"Chemicalger
micide",화학  살균제,미생물    사멸을  위해  사용하는  화학물질  또는  화학적  혼합물,A    chemical  or  a  mixture  of  chemicals  used  to  kill  microorganisms.,Ref    13
Clean  Area,청정구역,"미립자와    미생물  오염에  대한  일정한  환경  관리가  이루어지며 
그  지역  내에  오염  물질의  유입,  발생,  유지를  감소시키는  방식으
로  시공하고  사용하는    구역이다.","An 
  area  with  defined  environmental  control  of  particulate  and  microbial   
contamination, 
constructed 
and  used 
in 
such 
a  way 
as 
to 
reduce 
the   
introduction,  generation  and  retention  of  contaminants  within  the  area.",Ref    4
,,"미립자와  미생물  오염에  대한  일정한  환경  관리가  이루어지며  그 
지역  내에  오염  물질의    유입,  발생,  유지를  감소시키는  방식으로 
시공하고  사용하는  구역이다.","An 
  area  with  defined  environmental  control  of  particulate  and  microbial   
contamination, 
constructed 
and  used 
in 
such 
a  way 
as 
to 
reduce 
the   
introduction,  generation,  and  retention  of  contaminants  within  the  area.",Ref    5
,,"부유입자  및  미생물이  유입되거나  잔류하는  것을  통제하여  일정 
수준  이하로  유지되도록    관리하는  구역을  말한다.",N/A,Ref    15
,,부유입자  및  미생물의  청정도  기준이  규정된  구역,Anareawithdefinedparticleandmicrobiologicalcleanlinessstandards.,Ref    10
,,,,
"Class  of 
Cleanliness",청정등급,청정구역의    관리수준을  정한  등급을  말한다.,N/A,Ref    15
Cleanroom,청정실,"의약품이미립자와미생물에오염되는것을방지하기위하여설계,유지,
관리되는작업실.이러한작업실은지정되어야하고,적절한공기청정도
기준을지속적으로만족시킨다.","Aroomdesigned,maintained,andcontrolledtopreventparticleandmicrobiologicalcont
aminationofdrugproducts.Sucharoomisassignedandreproduciblymeetsanappropria
teaircleanlinessclassification.",Ref    10
Clean  Zone,청정지역,청정지역    :  청정구역  참조,SeeCleanArea.,Ref    10
"Clean/Contai
ned  Area",청정/밀폐(봉쇄)구역,"청정구역과    봉쇄구역  모두의  목적을  동시에  달성할  수  있는  방
식으로  시공하고  운영하는  구역","An    area  constructed  and  operated  in  such  a  manner  that  will  achieve  the 
aims  of    both  a  clean  area  and  a  contained  area  at  the  same  time.",Ref    4
"Cleaning 
Validation",세척    밸리데이션,"세척    밸리데이션은  승인된  세척  절차를  통해  설비를  세척하면 
의약품  처리에  적합한  상태가  된다는  점을  보여  주는  문서화된 
증거이다.","Cleaning 
 
validation 
is  documented  evidence 
that  an  approved 
cleaning 
procedure  will    provide  equipment  which  is  suitable  for  processing  medicinal 
products.",Ref    6
"Colony 
Forming 
Unit  (CFU)",콜로니  형성    단위,"하나    또는  그  이상의  미생물을  미생물  생장  배지에  넣었을  때 
눈에  보이는  하나의  집락이  형성된  것을  기술하는  미생물학적  용
어.  집락형성단위    하나를  1  CFU로  표기한다.","Amicrobiologicaltermthatdescribestheformationofasinglemacroscopiccolonyafterth
eintroductionofoneormoremicroorganismstomicrobiologicalgrowthmedia.Onecolo
nyformingunitisexpressedas1CFU.",Ref    10
"Commercial 
of  the  shelf",상용    소프트웨어,"상업적으로    상용화된  소프트웨어,  다양한  영역의  사용자들에  의
해  적합성이  검증된  소프트웨어.","Software    commercially  available,  whose  fitness  for  use  is  demonstrated  by  a 
broad    spectrum  of  users",Ref    20
software,,,,
"Commercial 
off-the-shelf 
(COTS)",상용제품,"설정이    가능한  프로그램  –  “기본  프로그램의  변경  없이  “빈  칸을 
채우는  방식에  의해”  특정  사용자의  요구에  맞게  설정을  할  수  있
는  프로그램    제품","Configurable    Programs-  Stock  programs  that  can  be  configured  to  specific 
user  applications    by  “filling  in  the  blanks”,  without  (COTS)  altering  the  basic 
program.",Ref    1
